;;TABLA Valoraciones;;;;Tabla Hoteles;;
;;;;;;;;
h;Booking;Columna MySQL;Tipo de Datos;;Booking;Columna MySQL;Tipo de Datos;
Calificación;Calificaciom;Calificacion;Varchar 50;;hotel_id;hotel_id;INT;
Impuestos Dólar;hotel_services;Servicios;Float;;city;Ciudad;Varchar 50;
Impuestos Pesos;Facilities;Instalaciones;Float;;address;Direccion;Varchar 50;
Limpieza;Comfort;Confort;Float;;accommodation_type_name;Tipo;Varchar 50;
Número de Comentarios;Staff;Personal;Float;;review_nr;review_nr;INT;
Personal;Value for money;Money;Varchar 50;;ufi;id_zona;INT;
Precio/Calidad;Cleanliness;Clean;Float;;hotel_name;Nombre;Varchar 50;
Puntuación;Total;Total;Float;;;id;INT (PK);
Tarifa Dólar;Location;Ubicacion;Varchar 50;;;;;
Tarifa Pesos;hotel_wifi;WIFI;Float;;;;;
Total Dólar;Hotel_ID;Hotel_ID;INT;;;;;
Total Pesos;;time;DATETIME;;;;;
Ubicación;;id;INT (PK);;;;;
WiFi;;;;;;;;
(en blanco);;;;;;;;
Total general;;;;;;;;
